Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Shane Long,FW,30,1987,30,15,1582,17.6,2,1,3,2,0,0,6,0,3.7,3.7,1.3,5.0,17,21,151,0.11,0.06,0.17,0.11,0.17,0.21,0.07,0.29,0.21,0.29
Ademola Lookman,"FW,MF",19,1997,7,1,159,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,8,6,7,0.00,0.00,0.00,0.00,0.00,0.06,0.26,0.32,0.06,0.32
Jonas Lössl,GK,28,1989,38,38,3420,38.0,0,1,1,0,0,0,1,0,0.0,0.0,0.6,0.6,0,2,0,0.00,0.03,0.03,0.00,0.03,0.00,0.02,0.02,0.00,0.02
Dejan Lovren,DF,28,1989,29,24,2127,23.6,2,1,3,2,0,0,4,0,1.4,1.4,1.3,2.6,20,98,7,0.08,0.04,0.13,0.08,0.13,0.06,0.05,0.11,0.06,0.11
Chris Löwe,DF,28,1989,23,19,1588,17.6,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.7,34,55,49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Matthew Lowton,DF,28,1989,26,25,2295,25.5,0,3,3,0,0,0,1,0,0.1,0.1,1.6,1.7,18,82,69,0.00,0.12,0.12,0.00,0.12,0.00,0.06,0.07,0.00,0.07
David Luiz,"DF,MF",30,1987,10,9,840,9.3,1,0,1,1,0,0,4,1,0.9,0.9,0.0,1.0,19,31,4,0.11,0.00,0.11,0.11,0.11,0.10,0.00,0.10,0.10,0.10
Romelu Lukaku,FW,24,1993,34,33,2867,31.9,16,7,23,16,0,1,4,0,13.2,12.4,4.7,17.0,57,63,216,0.50,0.22,0.72,0.50,0.72,0.41,0.15,0.56,0.39,0.54
Dodi Lukebakio,"MF,FW",19,1997,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.15,0.59,0.75,0.15,0.75
Levi Lumeka,FW,18,1998,1,0,26,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,3,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20
Harry Maguire,DF,24,1993,38,38,3420,38.0,2,4,6,2,0,0,7,0,2.8,2.8,4.1,6.9,58,178,18,0.05,0.11,0.16,0.05,0.16,0.07,0.11,0.18,0.07,0.18
Riyad Mahrez,"MF,FW",26,1991,36,34,2950,32.8,12,10,22,12,0,0,2,0,6.5,6.5,7.2,13.8,121,190,191,0.37,0.31,0.67,0.37,0.67,0.20,0.22,0.42,0.20,0.42
Ainsley Maitland-Niles,"DF,MF",19,1997,15,8,914,10.2,0,0,0,0,0,0,1,0,0.2,0.2,0.9,1.1,21,35,58,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.11,0.02,0.11
Scott Malone,DF,26,1991,22,12,1119,12.4,0,1,1,0,0,0,3,0,0.5,0.5,0.5,1.0,48,51,69,0.00,0.08,0.08,0.00,0.08,0.04,0.04,0.08,0.04,0.08
Sadio Mané,FW,25,1992,29,28,2190,24.3,10,7,17,10,0,0,3,1,10.6,10.6,5.4,16.0,112,120,270,0.41,0.29,0.70,0.41,0.70,0.44,0.22,0.66,0.44,0.66
Eliaquim Mangala,DF,26,1991,9,4,488,5.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,5,15,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03
Eliaquim Mangala,DF,26,1991,2,2,134,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,7,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Javier Manquillo,DF,23,1994,21,20,1758,19.5,0,1,1,0,0,0,2,0,0.1,0.1,1.3,1.4,29,55,33,0.00,0.05,0.05,0.00,0.05,0.00,0.07,0.07,0.00,0.07
Solly March,"MF,FW",23,1994,36,18,1851,20.6,1,1,2,1,0,0,3,0,1.5,1.5,1.4,2.9,59,60,141,0.05,0.05,0.10,0.05,0.10,0.07,0.07,0.14,0.07,0.14
