Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Stephano Carrillo,mx MEX,FW,Feyenoord,18,2006,3,0,52,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,8,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18
Yoann Cathline,fr FRA,FW,Utrecht,22,2002,25,23,1945,21.6,6,5,11,6,0,0,1,0,3.3,3.3,3.0,6.3,111,68,186,0.28,0.23,0.51,0.28,0.51,0.15,0.14,0.29,0.15,0.29
Kayky Chagas,br BRA,"FW,DF",Sparta R'dam,21,2003,6,2,120,1.3,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,7,3,13,0.00,0.00,0.00,0.00,0.00,0.38,0.06,0.45,0.38,0.45
Jordy Clasie,nl NED,MF,AZ Alkmaar,33,1991,23,20,1820,20.2,0,2,2,0,0,0,3,0,0.4,0.4,2.3,2.7,14,161,31,0.00,0.10,0.10,0.00,0.10,0.02,0.11,0.13,0.02,0.13
Pelle Clement,nl NED,"MF,FW",Sparta R'dam,28,1996,32,20,1674,18.6,2,4,6,2,0,0,6,0,1.5,1.5,2.8,4.4,23,105,40,0.11,0.22,0.32,0.11,0.32,0.08,0.15,0.23,0.08,0.23
Denilho Cleonise,nl NED,"FW,MF",RKC Waalwijk,22,2001,25,10,1102,12.2,1,2,3,1,0,0,1,0,0.6,0.6,3.1,3.7,44,21,75,0.08,0.16,0.25,0.08,0.25,0.05,0.25,0.30,0.05,0.30
Amara Conde,de GER,MF,Heerenveen,27,1997,15,8,734,8.2,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,7,31,17,0.00,0.12,0.12,0.00,0.12,0.01,0.04,0.05,0.01,0.05
Vito van Crooy,nl NED,"MF,FW",NEC Nijmegen,28,1996,25,22,1889,21.0,9,6,15,8,1,1,7,1,4.1,3.3,2.3,5.6,22,48,74,0.43,0.29,0.71,0.38,0.67,0.20,0.11,0.31,0.16,0.27
Alessio da Cruz,cv CPV,FW,Fortuna Sittard,27,1997,18,13,1185,13.2,4,1,5,4,0,0,5,0,4.8,4.8,0.9,5.7,15,6,56,0.30,0.08,0.38,0.30,0.38,0.36,0.07,0.43,0.36,0.43
Ro-Zangelo Daal,nl NED,FW,AZ Alkmaar,20,2004,3,1,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jasper Dahlhaus,nl NED,"DF,FW",Fortuna Sittard,22,2001,31,19,1761,19.6,2,2,4,2,0,0,4,0,1.1,1.1,2.0,3.1,62,39,106,0.10,0.10,0.20,0.10,0.20,0.06,0.10,0.16,0.06,0.16
Matteo Dams,be BEL,DF,PSV Eindhoven,20,2004,15,11,916,10.2,0,0,0,0,0,0,1,1,0.3,0.3,1.2,1.5,20,46,65,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.15,0.03,0.15
Damil Dankerlui,sr SUR,"DF,FW",Almere City,27,1996,8,0,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,11,7,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Argyrios Darelas,gr GRE,"MF,FW",NEC Nijmegen,20,2003,5,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brynjolfur Darri Willumsson,is ISL,FW,Groningen,23,2000,29,6,960,10.7,4,1,5,4,0,0,2,1,2.0,2.0,1.9,3.9,8,18,68,0.37,0.09,0.47,0.37,0.47,0.19,0.18,0.36,0.19,0.36
Jari De Busser,be BEL,GK,Go Ahead Eag,24,1999,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Brian De Keersmaecker,be BEL,MF,Heracles Almelo,24,2000,31,31,2722,30.2,5,3,8,2,3,3,3,1,4.0,1.6,3.4,5.0,45,168,43,0.17,0.10,0.26,0.07,0.17,0.13,0.11,0.24,0.05,0.17
Mats Deijl,nl NED,DF,Go Ahead Eag,27,1997,34,34,3060,34.0,4,1,5,2,2,2,2,0,4.8,3.2,2.3,5.5,31,112,102,0.12,0.03,0.15,0.06,0.09,0.14,0.07,0.21,0.09,0.16
Maxim Dekker,nl NED,DF,AZ Alkmaar,20,2004,11,7,589,6.5,0,0,0,0,0,0,1,1,0.0,0.0,0.1,0.1,12,35,4,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
