Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Rony Lopes,"MF,FW",28,1995,14,14,1128,12.5,1,0,1,1,0,1,4,0,3.1,2.3,1.4,3.7,12,41,43,0.08,0.00,0.08,0.08,0.08,0.25,0.11,0.36,0.19,0.29
Vasco Lopes,"FW,MF",24,1999,24,10,1047,11.6,2,2,4,2,0,0,6,0,1.8,1.8,1.4,3.2,55,45,78,0.17,0.17,0.34,0.17,0.34,0.15,0.12,0.27,0.15,0.27
Mamadou Loum,"MF,DF",27,1996,21,7,707,7.9,0,0,0,0,0,0,4,1,0.4,0.4,0.5,0.9,5,44,2,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11
Jonatan Lucca,MF,30,1994,8,2,271,3.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,12,5,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
Florentino Luís,MF,24,1999,26,24,1969,21.9,2,1,3,2,0,0,7,0,1.4,1.4,0.7,2.0,15,127,16,0.09,0.05,0.14,0.09,0.14,0.06,0.03,0.09,0.06,0.09
Zé Luís,FW,33,1991,25,16,1384,15.4,3,1,4,1,2,2,4,0,4.2,2.6,2.1,4.7,10,26,56,0.20,0.07,0.26,0.07,0.13,0.27,0.13,0.41,0.17,0.30
Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Luismi,FW,23,2001,31,13,1369,15.2,5,3,8,5,0,0,1,0,5.4,5.4,1.1,6.5,22,21,65,0.33,0.20,0.53,0.33,0.53,0.35,0.07,0.43,0.35,0.43
Vitali Lystsov,DF,29,1995,8,5,474,5.3,1,0,1,1,0,0,2,0,0.1,0.1,0.0,0.1,1,16,3,0.19,0.00,0.19,0.19,0.19,0.02,0.00,0.02,0.02,0.02
Rúben Macedo,"FW,MF",28,1996,27,10,1198,13.3,1,1,2,0,1,1,0,0,3.0,2.3,2.2,4.4,57,17,78,0.08,0.08,0.15,0.00,0.08,0.23,0.16,0.39,0.17,0.33
Tiago Machado,"FW,MF",20,2004,11,0,122,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0,4,10,0.00,0.00,0.00,0.00,0.00,0.13,0.17,0.30,0.13,0.30
Madson,FW,24,1999,19,16,1173,13.0,2,1,3,2,0,0,1,0,2.0,2.0,1.6,3.6,42,29,90,0.15,0.08,0.23,0.15,0.23,0.15,0.13,0.28,0.15,0.28
Miguel Maga,DF,21,2002,18,16,1391,15.5,0,1,1,0,0,0,2,0,0.2,0.2,1.1,1.3,23,61,96,0.00,0.06,0.06,0.00,0.06,0.01,0.07,0.08,0.01,0.08
Otar Mamageishvili,MF,21,2003,4,0,46,0.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08
Eliaquim Mangala,DF,33,1991,9,4,424,4.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,2,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ricardo Mangas,FW,26,1998,4,4,339,3.8,0,0,0,0,0,0,0,0,0.9,0.9,0.3,1.2,9,4,25,0.00,0.00,0.00,0.00,0.00,0.24,0.07,0.32,0.24,0.32
Brian Mansilla,"FW,MF",22,2002,12,3,340,3.8,0,0,0,0,0,1,0,0,1.5,0.7,0.9,1.6,4,9,13,0.00,0.00,0.00,0.00,0.00,0.39,0.24,0.63,0.18,0.43
Nico Mantl,GK,24,2000,29,29,2610,29.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Manú,"FW,DF",18,2005,3,0,41,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Manuel Manu,MF,23,2001,15,7,680,7.6,1,1,2,1,0,0,2,0,0.4,0.4,0.6,1.0,1,73,14,0.13,0.13,0.26,0.13,0.26,0.06,0.08,0.14,0.06,0.14
Manuel Manu,MF,23,2001,3,2,136,1.5,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0,8,1,0.00,0.66,0.66,0.00,0.66,0.02,0.04,0.05,0.02,0.05
